user_id,movie_reco_1,movie_reco_2,movie_reco_3,movie_reco_4,movie_reco_5,movie_reco_6,movie_reco_7,movie_reco_8,movie_reco_9,movie_reco_10
11,City of God (Cidade de Deus) (2002),Where the Wild Things Are (2009),Never Let Me Go (2010),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Marie Antoinette (2006),"Lord of the Rings: The Two Towers, The (2002)",Mystic River (2003),Slumdog Millionaire (2008),"Hobbit: An Unexpected Journey, The (2012)","Virgin Suicides, The (1999)"
12,Wristcutters: A Love Story (2006),The Artist (2011),Parasite (2019),Zabriskie Point (1970),Lemony Snicket's A Series of Unfortunate Events (2004),Duck Soup (1933),City Lights (1931),I Kill Giants (2018),U Turn (1997),Scarfies (1999)
13,City of Ember (2008),Miss Peregrine's Home for Peculiar Children (2016),Brazil (1985),Hardcore Henry (2015),Never Let Me Go (2010),Girl with a Pearl Earring (2003),Where the Wild Things Are (2009),I Kill Giants (2018),Cloud Atlas (2012),Wristcutters: A Love Story (2006)
14,Sin City (2005),Being John Malkovich (1999),Brazil (1985),"Clockwork Orange, A (1971)",Cloud Atlas (2012),Drive (2011),The Lobster (2015),Inglourious Basterds (2009),In Bruges (2008),"Virgin Suicides, The (1999)"
15,Wristcutters: A Love Story (2006),In Bruges (2008),"Big Lebowski, The (1998)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),They Live (1988),Tucker & Dale vs Evil (2010),Lemony Snicket's A Series of Unfortunate Events (2004),Brazil (1985),"Graduate, The (1967)",Parasite (2019)
16,Never Let Me Go (2010),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Marie Antoinette (2006),Mystic River (2003),"Virgin Suicides, The (1999)",Slumdog Millionaire (2008),Hugo (2011),Where the Wild Things Are (2009),"Lord of the Rings: The Return of the King, The (2003)",Intouchables (2011)
17,Ant-Man and the Wasp (2018),Guardians of the Galaxy (2014),Guardians of the Galaxy 2 (2017),Doctor Strange (2016),Man of Steel (2013),Avengers: Infinity War - Part II (2019),Valerian and the City of a Thousand Planets (2017),Ant-Man (2015),Star Trek Into Darkness (2013),X-Men: Days of Future Past (2014)
18,"Hitchhiker's Guide to the Galaxy, The (2005)","Dark Crystal, The (1982)",Children of Men (2006),They Live (1988),Serenity (2005),Once Upon a Time in the West (C'era una volta il West) (1968),Starship Troopers (1997),I Kill Giants (2018),Where the Wild Things Are (2009),Ender's Game (2013)
19,Where the Wild Things Are (2009),"Hobbit: An Unexpected Journey, The (2012)",City of Ember (2008),I Kill Giants (2018),Miss Peregrine's Home for Peculiar Children (2016),Girl with a Pearl Earring (2003),Children of Men (2006),"Pan's Labyrinth (Laberinto del fauno, El) (2006)","Hitchhiker's Guide to the Galaxy, The (2005)",World on a Wire (Welt am Draht) (1973)
20,Ender's Game (2013),"Hitchhiker's Guide to the Galaxy, The (2005)",Guardians of the Galaxy (2014),Star Wars: Episode III - Revenge of the Sith (2005),Pitch Black (2000),"Hobbit: An Unexpected Journey, The (2012)",Solo: A Star Wars Story (2018),Star Trek Into Darkness (2013),"Dark Crystal, The (1982)",Harry Potter and the Deathly Hallows: Part 2 (2011)
21,Cloud Atlas (2012),Looper (2012),Dark City (1998),Brazil (1985),Tykho Moon (1996),Pandorum (2009),Watchmen (2009),Oblivion (2013),2001: A Space Odyssey (1968),Miss Peregrine's Home for Peculiar Children (2016)
22,Sin City (2005),City of God (Cidade de Deus) (2002),Trainspotting (1996),"Lock, Stock & Two Smoking Barrels (1998)",Jackie Brown (1997),Wag the Dog (1997),Lucky Number Slevin (2006),Kick-Ass (2010),Sin City: A Dame to Kill For (2014),Killer Joe (2011)
23,The Artist (2011),Zabriskie Point (1970),Wristcutters: A Love Story (2006),Parasite (2019),City Lights (1931),Joker (2019),Duck Soup (1933),I Kill Giants (2018),U Turn (1997),"Separation, A (Jodaeiye Nader az Simin) (2011)"
24,Mystic River (2003),City of God (Cidade de Deus) (2002),Incendies (2010),No Country for Old Men (2007),"Talented Mr. Ripley, The (1999)",Seven (a.k.a. Se7en) (1995),American History X (1998),Crash (2004),Lucky Number Slevin (2006),One Flew Over the Cuckoo's Nest (1975)
25,City of God (Cidade de Deus) (2002),Trainspotting (1996),Killer Joe (2011),No Country for Old Men (2007),Joker (2019),Mystic River (2003),"Lord of the Rings: The Return of the King, The (2003)",Marie Antoinette (2006),Philomena (2013),Changeling (2008)
26,Pandorum (2009),Looper (2012),Cloud Atlas (2012),Blade Runner (1982),Brazil (1985),V for Vendetta (2006),Oblivion (2013),Children of Men (2006),Dark City (1998),Donnie Darko (2001)
27,Star Wars: Episode VI - Return of the Jedi (1983),Once Upon a Time in the West (C'era una volta il West) (1968),"Hitchhiker's Guide to the Galaxy, The (2005)","Lord of the Rings: The Return of the King, The (2003)",Solo: A Star Wars Story (2018),Ender's Game (2013),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Kon-Tiki (2012),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Chronicles of Riddick, The (2004)"
28,Oblivion (2013),Pandorum (2009),Valerian and the City of a Thousand Planets (2017),Star Trek Into Darkness (2013),Serenity (2005),Solo: A Star Wars Story (2018),Star Trek (2009),Sunshine (2007),Star Wars: Episode III - Revenge of the Sith (2005),"Hitchhiker's Guide to the Galaxy, The (2005)"
29,The Artist (2011),Breakfast at Tiffany's (1961),Talk to Her (Hable con Ella) (2002),Parasite (2019),Wristcutters: A Love Story (2006),Band of Outsiders (Bande à part) (1964),Zabriskie Point (1970),Twisted Seduction (2010),Paper Towns (2015),Velvet Buzzsaw (2019)
30,Wristcutters: A Love Story (2006),Fido (2006),Tucker & Dale vs Evil (2010),Wag the Dog (1997),In Bruges (2008),Parasite (2019),Lemony Snicket's A Series of Unfortunate Events (2004),Thank You for Smoking (2006),"Serious Man, A (2009)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
31,Wristcutters: A Love Story (2006),Trainspotting (1996),City of God (Cidade de Deus) (2002),Never Let Me Go (2010),Mystic River (2003),"Virgin Suicides, The (1999)",I Kill Giants (2018),Where the Wild Things Are (2009),Incendies (2010),The Artist (2011)
32,City of God (Cidade de Deus) (2002),Trainspotting (1996),Mystic River (2003),No Country for Old Men (2007),Sin City (2005),"Talented Mr. Ripley, The (1999)","Clockwork Orange, A (1971)",American Psycho (2000),One Flew Over the Cuckoo's Nest (1975),Philomena (2013)
33,"Clockwork Orange, A (1971)",Sin City (2005),Mystic River (2003),Trainspotting (1996),No Country for Old Men (2007),Never Let Me Go (2010),Slumdog Millionaire (2008),American Psycho (2000),"Talented Mr. Ripley, The (1999)",Cloud Atlas (2012)
34,Sin City (2005),"Clockwork Orange, A (1971)",Reservoir Dogs (1992),City of God (Cidade de Deus) (2002),Trainspotting (1996),Requiem for a Dream (2000),Cloud Atlas (2012),Crash (2004),"Lock, Stock & Two Smoking Barrels (1998)",In Bruges (2008)
35,Donnie Darko (2001),Never Let Me Go (2010),"Fountain, The (2006)",Time Lapse (2014),Your Name. (2016),"Virgin Suicides, The (1999)",Cloud Atlas (2012),V for Vendetta (2006),Arrival (2016),Primer (2004)
36,Zathura (2005),"Ice Pirates, The (1984)","Hobbit: The Desolation of Smaug, The (2013)","Lord of the Rings: The Return of the King, The (2003)",Season of the Witch (2011),Doctor Zhivago (1965),Kon-Tiki (2012),Jade Warrior (Jadesoturi) (2006),Throne of Blood (Kumonosu jô) (1957),"Lord of the Rings: The Fellowship of the Ring, The (2001)"
37,Cloud Atlas (2012),"Sixth Sense, The (1999)","Clockwork Orange, A (1971)",The Machinist (2004),Donnie Darko (2001),Brazil (1985),V for Vendetta (2006),"Prestige, The (2006)",Requiem for a Dream (2000),Never Let Me Go (2010)
38,Sin City (2005),Never Let Me Go (2010),V for Vendetta (2006),Brazil (1985),Watchmen (2009),Cloud Atlas (2012),"Virgin Suicides, The (1999)",Girl with a Pearl Earring (2003),Trainspotting (1996),Wristcutters: A Love Story (2006)
39,V for Vendetta (2006),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Cloud Atlas (2012),Blade Runner (1982),"Clockwork Orange, A (1971)",Brazil (1985),Children of Men (2006),Never Let Me Go (2010),"Virgin Suicides, The (1999)",2001: A Space Odyssey (1968)
40,"Clockwork Orange, A (1971)",Sin City (2005),Mystic River (2003),Cloud Atlas (2012),V for Vendetta (2006),Prisoners (2013),Never Let Me Go (2010),"Virgin Suicides, The (1999)",Requiem for a Dream (2000),Brazil (1985)
41,Close (2019),Pitch Black (2000),"Chronicles of Riddick, The (2004)",Dark Star (1974),"Ice Pirates, The (1984)",The Predator (2018),Lockout (2012),Invasion of the Body Snatchers (1978),Riddick (2013),None
42,No Country for Old Men (2007),Psycho (1960),"Talented Mr. Ripley, The (1999)",Lucky Number Slevin (2006),Saw (2004),"Boondock Saints, The (2000)",We Need to Talk About Kevin (2011),"Number 23, The (2007)",Frailty (2001),Identity (2003)
43,Wristcutters: A Love Story (2006),Where the Wild Things Are (2009),"Virgin Suicides, The (1999)",I Kill Giants (2018),Never Let Me Go (2010),Lemony Snicket's A Series of Unfortunate Events (2004),City of Ember (2008),Girl with a Pearl Earring (2003),"Hobbit: An Unexpected Journey, The (2012)",Hugo (2011)
44,Valerian and the City of a Thousand Planets (2017),Star Trek Into Darkness (2013),Star Wars: Episode III - Revenge of the Sith (2005),Pandorum (2009),Oblivion (2013),Gravity (2013),Tykho Moon (1996),Serenity (2005),"Hitchhiker's Guide to the Galaxy, The (2005)",Sunshine (2007)
45,U Turn (1997),"Oh, Bomb! (1964)","Serious Man, A (2009)",Death at a Funeral (2007),Parasite (2019),Killer Joe (2011),"Lock, Stock & Two Smoking Barrels (1998)",Shallow Grave (1994),Wristcutters: A Love Story (2006),Only God Forgives (2013)
46,The Artist (2011),I Kill Giants (2018),Wristcutters: A Love Story (2006),Where the Wild Things Are (2009),Zabriskie Point (1970),U Turn (1997),Duck Soup (1933),"Battle of Algiers, The (La battaglia di Algeri) (1966)","Last King of Scotland, The (2006)",Parasite (2019)
47,"Lord of the Rings: The Return of the King, The (2003)","Hobbit: The Desolation of Smaug, The (2013)",Kon-Tiki (2012),I Kill Giants (2018),Once Upon a Time in the West (C'era una volta il West) (1968),"Lord of the Rings: The Two Towers, The (2002)",Where the Wild Things Are (2009),Zabriskie Point (1970),"Last King of Scotland, The (2006)","Battle of Algiers, The (La battaglia di Algeri) (1966)"
48,Get Shorty (1995),City on Fire (Lung fu fong wan) (1987),Getaway Plan (2017),"Killer, The (Die xue shuang xiong) (1989)",Wolf Creek (2005),"Bone Collector, The (1999)",Patriot Games (1992),U Turn (1997),Pusher (1996),"Number 23, The (2007)"
49,Matilda (1996),The Holiday Calendar (2018),Chitty Chitty Bang Bang (1968),Senso (1954),Christmas Wedding Planner (2017),Muppet Treasure Island (1996),Horse Feathers (1932),Smiles of a Summer Night (Sommarnattens leende) (1955),Florence Foster Jenkins (2016),"Three Musketeers, The (1993)"
50,Brazil (1985),Being John Malkovich (1999),Cloud Atlas (2012),"Clockwork Orange, A (1971)",Donnie Darko (2001),Memento (2000),V for Vendetta (2006),The Lobster (2015),Never Let Me Go (2010),"Virgin Suicides, The (1999)"
51,Pandorum (2009),Looper (2012),Star Wars: Episode III - Revenge of the Sith (2005),Oblivion (2013),Blade Runner (1982),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Cloud Atlas (2012),"Fifth Element, The (1997)",2001: A Space Odyssey (1968),Alien (1979)
52,"Virgin Suicides, The (1999)",Never Let Me Go (2010),Mystic River (2003),Requiem for a Dream (2000),Wristcutters: A Love Story (2006),City of God (Cidade de Deus) (2002),Fight Club (1999),Intouchables (2011),Thank You for Smoking (2006),Trainspotting (1996)
53,Hugo (2011),"Virgin Suicides, The (1999)",Pride & Prejudice (2005),Never Let Me Go (2010),Marie Antoinette (2006),Wristcutters: A Love Story (2006),"Life Aquatic with Steve Zissou, The (2004)",Intouchables (2011),Moonrise Kingdom (2012),Being John Malkovich (1999)
54,"Talented Mr. Ripley, The (1999)",Frailty (2001),One Flew Over the Cuckoo's Nest (1975),"Number 23, The (2007)",Nightbreed (1990),Rope (1948),Mystic River (2003),No Country for Old Men (2007),Memories of Murder (Salinui chueok) (2003),Tragedy Girls (2017)
55,Mystic River (2003),"Virgin Suicides, The (1999)",Incendies (2010),Never Let Me Go (2010),Marie Antoinette (2006),Faults (2015),Rashomon (Rashômon) (1950),Fight Club (1999),Wristcutters: A Love Story (2006),Prisoners (2013)
56,Star Wars: Episode III - Revenge of the Sith (2005),Star Wars: Episode V - The Empire Strikes Back (1980),"Hitchhiker's Guide to the Galaxy, The (2005)",Blade Runner (1982),Guardians of the Galaxy (2014),"Dark Crystal, The (1982)",Serenity (2005),"Princess Bride, The (1987)","Fifth Element, The (1997)",Valerian and the City of a Thousand Planets (2017)
57,"Virgin Suicides, The (1999)",In Bruges (2008),Never Let Me Go (2010),The Artist (2011),"Clockwork Orange, A (1971)",Parasite (2019),The Lobster (2015),Slumdog Millionaire (2008),Clue (1985),Tucker & Dale vs Evil (2010)
58,Seven Beauties (Pasqualino Settebellezze) (1976),The Artist (2011),Zabriskie Point (1970),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Loves of a Blonde (Lásky jedné plavovlásky) (1965),City Lights (1931),"Sweet Hereafter, The (1997)",Band of Outsiders (Bande à part) (1964),Orpheus (Orphée) (1950),"Separation, A (Jodaeiye Nader az Simin) (2011)"
59,Wristcutters: A Love Story (2006),I Kill Giants (2018),The Artist (2011),Where the Wild Things Are (2009),Lemony Snicket's A Series of Unfortunate Events (2004),Duck Soup (1933),City of God (Cidade de Deus) (2002),Incendies (2010),Parasite (2019),World on a Wire (Welt am Draht) (1973)
60,Zabriskie Point (1970),Duck Soup (1933),City Lights (1931),Deliverance (1972),"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)",The Artist (2011),Jesus Christ Superstar (1973),Orpheus (Orphée) (1950),Blackmail (1929),"General, The (1926)"
61,Duck Soup (1933),Zabriskie Point (1970),The Artist (2011),City Lights (1931),Lemony Snicket's A Series of Unfortunate Events (2004),I Kill Giants (2018),Wristcutters: A Love Story (2006),"Hobbit: The Desolation of Smaug, The (2013)",Nothing Sacred (1937),Scarfies (1999)
62,Wristcutters: A Love Story (2006),Mystic River (2003),Never Let Me Go (2010),"Clockwork Orange, A (1971)",Incendies (2010),Marie Antoinette (2006),"Virgin Suicides, The (1999)",Fargo (1996),Parasite (2019),Wag the Dog (1997)
63,It's Kind of a Funny Story (2010),Submarine (2010),Wristcutters: A Love Story (2006),Intouchables (2011),Tamara Drewe (2010),Pride & Prejudice (2005),Destination Wedding (2018),High Fidelity (2000),Tie Me Up! Tie Me Down! (¡Átame!) (1990),Breakfast at Tiffany's (1961)
64,V for Vendetta (2006),Pandorum (2009),Cloud Atlas (2012),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Oblivion (2013),Looper (2012),Blade Runner (1982),Miss Peregrine's Home for Peculiar Children (2016),The Butterfly Effect (2004),2001: A Space Odyssey (1968)
65,Watchmen (2009),Batman Begins (2005),Girl with a Pearl Earring (2003),Aquaman (2018),X-Men (2000),City of Ember (2008),X-Men Origins: Wolverine (2009),V for Vendetta (2006),Venom (2018),Avengers: Infinity War - Part II (2019)
66,Matilda (1996),I Kill Giants (2018),Where the Wild Things Are (2009),Cat on a Hot Tin Roof (1958),Barney's Version (2010),Wristcutters: A Love Story (2006),"Number 23, The (2007)",Lemony Snicket's A Series of Unfortunate Events (2004),"Name of the Rose, The (Name der Rose, Der) (1986)",U Turn (1997)
67,"Ice Pirates, The (1984)",Season of the Witch (2011),"Flight of Dragons, The (1982)",Your Highness (2011),Zathura (2005),Final Fantasy VII: Advent Children (2004),A Wrinkle in Time (2018),Titan A.E. (2000),"History of Future Folk, The (2012)",Pacific Rim: Uprising (2018)
68,Brazil (1985),Cloud Atlas (2012),Being John Malkovich (1999),Fight Club (1999),"Clockwork Orange, A (1971)","Fountain, The (2006)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Dark City (1998),Blade Runner (1982)
69,"Clockwork Orange, A (1971)",Trainspotting (1996),Never Let Me Go (2010),Brazil (1985),"Virgin Suicides, The (1999)",Cloud Atlas (2012),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Children of Men (2006),Slumdog Millionaire (2008),Prisoners (2013)
70,Sin City (2005),Wristcutters: A Love Story (2006),Brazil (1985),"Virgin Suicides, The (1999)",Children of Men (2006),Trainspotting (1996),Never Let Me Go (2010),Marie Antoinette (2006),Hugo (2011),City of God (Cidade de Deus) (2002)
71,Star Wars: Episode III - Revenge of the Sith (2005),Pandorum (2009),Gravity (2013),Star Wars: Episode VI - Return of the Jedi (1983),Cloud Atlas (2012),Blade Runner (1982),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Serenity (2005),Oblivion (2013),V for Vendetta (2006)
72,U Turn (1997),City Lights (1931),Zabriskie Point (1970),Scarfies (1999),Duck Soup (1933),"Oh, Bomb! (1964)",The Artist (2011),Parasite (2019),Shadow of a Doubt (1943),Nothing Sacred (1937)
73,Star Wars: Episode VI - Return of the Jedi (1983),Star Wars: Episode V - The Empire Strikes Back (1980),Solo: A Star Wars Story (2018),Star Wars: Episode III - Revenge of the Sith (2005),Pitch Black (2000),"Hitchhiker's Guide to the Galaxy, The (2005)",Star Trek Into Darkness (2013),Serenity (2005),Guardians of the Galaxy (2014),"Fifth Element, The (1997)"
74,City of God (Cidade de Deus) (2002),Trainspotting (1996),Philomena (2013),12 Years a Slave (2013),Wag the Dog (1997),12 Strong (2018),Intouchables (2011),Sin City (2005),Slumdog Millionaire (2008),Goodfellas (1990)
75,I Kill Giants (2018),Wristcutters: A Love Story (2006),Where the Wild Things Are (2009),World on a Wire (Welt am Draht) (1973),Girl with a Pearl Earring (2003),The Artist (2011),Never Let Me Go (2010),Joker (2019),Parasite (2019),City of Ember (2008)
76,"Clockwork Orange, A (1971)",Wristcutters: A Love Story (2006),Sin City (2005),"Virgin Suicides, The (1999)",The Lobster (2015),Cloud Atlas (2012),Never Let Me Go (2010),Memento (2000),Faults (2015),Hugo (2011)
77,TMNT (Teenage Mutant Ninja Turtles) (2007),Muppet Treasure Island (1996),"Absent-Minded Professor, The (1961)",Race to Witch Mountain (2009),Pollyanna (1960),Tekkonkinkreet (Tekkon kinkurîto) (2006),Popeye (1980),Johnny English Strikes Again (2018),Chicken Little (2005),Super Mario Bros. (1993)
78,"Virgin Suicides, The (1999)",Wristcutters: A Love Story (2006),Never Let Me Go (2010),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Where the Wild Things Are (2009),Brazil (1985),Hugo (2011),Girl with a Pearl Earring (2003),Being John Malkovich (1999),Miss Peregrine's Home for Peculiar Children (2016)
79,Sin City (2005),Lucky Number Slevin (2006),City of God (Cidade de Deus) (2002),Trainspotting (1996),No Country for Old Men (2007),Reservoir Dogs (1992),Mystic River (2003),"Lock, Stock & Two Smoking Barrels (1998)",Snatch (2000),Fight Club (1999)
80,Joker (2019),"Oh, Bomb! (1964)",Shadow of a Doubt (1943),Ichi the Killer (Koroshiya 1) (2001),In Order of Disappearance (Kraftidioten) (2014),Mesrine: Killer Instinct (L'instinct de mort) (2008),"Name of the Rose, The (Name der Rose, Der) (1986)",Deliverance (1972),I Kill Giants (2018),Chase (2019)
81,Mystic River (2003),"Das Experiment (Experiment, The) (2001)","Talented Mr. Ripley, The (1999)","Reaping, The (2007)",No Country for Old Men (2007),Changeling (2008),"Green Mile, The (1999)",Philomena (2013),Killer Joe (2011),Incendies (2010)
82,Never Let Me Go (2010),Marie Antoinette (2006),Hugo (2011),Wristcutters: A Love Story (2006),Where the Wild Things Are (2009),Girl with a Pearl Earring (2003),Mystic River (2003),Big Fish (2003),Intouchables (2011),"Clockwork Orange, A (1971)"
83,Blackmail (1929),Shadow of a Doubt (1943),Niagara (1953),Inglorious Bastards (Quel maledetto treno blindato) (1978),Watchman (2019),Senso (1954),"Unbearable Lightness of Being, The (1988)",Exodus (1960),Greta (2019),Angel of Mine (2019)
84,"Virgin Suicides, The (1999)",Cloud Atlas (2012),Marie Antoinette (2006),Wristcutters: A Love Story (2006),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Hugo (2011),City of God (Cidade de Deus) (2002),Being John Malkovich (1999),Mystic River (2003),Trainspotting (1996)
85,"Oh, Bomb! (1964)",Nothing Sacred (1937),"Green Butchers, The (Grønne slagtere, De) (2003)",Shallow Grave (1994),Four Lions (2010),Scarfies (1999),Band of Outsiders (Bande à part) (1964),El Infierno (2010),Shoot the Piano Player (Tirez sur le pianiste) (1960),In Order of Disappearance (Kraftidioten) (2014)
86,They Live (1988),Starship Troopers (1997),"Hitchhiker's Guide to the Galaxy, The (2005)",Once Upon a Time in the West (C'era una volta il West) (1968),"Dark Crystal, The (1982)",Children of Men (2006),Serenity (2005),Pitch Black (2000),Star Wars: Episode III - Revenge of the Sith (2005),Solo: A Star Wars Story (2018)
87,Pandorum (2009),The Butterfly Effect (2004),Oblivion (2013),2001: A Space Odyssey (1968),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Predestination (2014),Edge of Tomorrow (2014),Looper (2012),Sunshine (2007),Dark City (1998)
88,Incendies (2010),Mystic River (2003),Sin City (2005),"Clockwork Orange, A (1971)",Faults (2015),Crash (2004),Seven (a.k.a. Se7en) (1995),V for Vendetta (2006),The Machinist (2004),City of God (Cidade de Deus) (2002)
89,Wristcutters: A Love Story (2006),Where the Wild Things Are (2009),I Kill Giants (2018),The Artist (2011),"King's Speech, The (2010)",Lemony Snicket's A Series of Unfortunate Events (2004),Duck Soup (1933),U Turn (1997),Zabriskie Point (1970),"Separation, A (Jodaeiye Nader az Simin) (2011)"
90,Star Wars: Episode V - The Empire Strikes Back (1980),Solo: A Star Wars Story (2018),Star Wars: Episode III - Revenge of the Sith (2005),Star Wars: Episode II - Attack of the Clones (2002),Star Trek Into Darkness (2013),Star Wars: Episode I - The Phantom Menace (1999),Pitch Black (2000),Guardians of the Galaxy (2014),Star Wars: The Clone Wars (2008),Star Trek Beyond (2016)
91,Tykho Moon (1996),The Butterfly Effect (2004),Time Lapse (2014),V for Vendetta (2006),Marie Antoinette (2006),Cloud Atlas (2012),Gattaca (1997),"Virgin Suicides, The (1999)",Girl with a Pearl Earring (2003),Arrival (2016)
92,Mystic River (2003),Prisoners (2013),Never Let Me Go (2010),City of God (Cidade de Deus) (2002),Marie Antoinette (2006),Into the Wild (2007),"Virgin Suicides, The (1999)",12 Years a Slave (2013),Intouchables (2011),Philomena (2013)
93,Wristcutters: A Love Story (2006),"Life Aquatic with Steve Zissou, The (2004)","Pan's Labyrinth (Laberinto del fauno, El) (2006)","Virgin Suicides, The (1999)",Stardust (2007),Being John Malkovich (1999),Safety Not Guaranteed (2012),Big Fish (2003),Pink Floyd: The Wall (1982),Miss Peregrine's Home for Peculiar Children (2016)
94,City of God (Cidade de Deus) (2002),Trainspotting (1996),Philomena (2013),12 Strong (2018),12 Years a Slave (2013),Killer Joe (2011),"Das Experiment (Experiment, The) (2001)",Wag the Dog (1997),Mystic River (2003),Changeling (2008)
95,Never Let Me Go (2010),"Virgin Suicides, The (1999)",Brazil (1985),Drive (2011),Marie Antoinette (2006),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Children of Men (2006),Hugo (2011),Sin City (2005),Mystic River (2003)
96,Miss Peregrine's Home for Peculiar Children (2016),Watchmen (2009),Girl with a Pearl Earring (2003),Hugo (2011),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Your Name. (2016),"Fall, The (2006)","Virgin Suicides, The (1999)",Kubo and the Two Strings (2016),Cloud Atlas (2012)
97,Mesrine: Killer Instinct (L'instinct de mort) (2008),Jade Warrior (Jadesoturi) (2006),"Tomorrow, When the War Began (2010)",The Count of Monte Cristo (2002),Pain & Gain (2013),I Kill Giants (2018),"Last King of Scotland, The (2006)",Shooter (2007),Our Man in Havana (1959),"Informant!, The (2009)"
98,Chitty Chitty Bang Bang (1968),The Little Prince (2015),Hercules (1997),"Flight of Dragons, The (1982)",Descendants 2 (2017),How to Train Your Dragon (2010),Snow White and the Seven Dwarfs (1937),Your Highness (2011),Bridge to Terabithia (2007),Pinocchio (1940)
99,Brazil (1985),Sin City (2005),Cloud Atlas (2012),"Virgin Suicides, The (1999)",Never Let Me Go (2010),Requiem for a Dream (2000),Mystic River (2003),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Drive (2011),Trainspotting (1996)
